chunk_id,text,token_count,start_token_index,end_token_index
0,"Dünya’nın tek doğal uydusu olan Ay, Dünya’ya en yakın gök cismidir. Bu yüzden geceleri gökyüzündeki en büyük ve en parlak gök cismi Ay’dır. Ay’ın Genel Özellikleri Dünya’nın tek doğal uydusu olan Ay, Dünya’ya en yakın gök cismidir. Bu yüzden geceleri gökyüzündeki en büyük ve en parlak gök cismi Ay’dır. Ay ile Dünya arasındaki mesafe ortalama 384.400 km’dir. Bu da yaklaşık olarak ışığın bir saniyede aldığı yola eşittir.  Genel kabul gören teoriye göre Ay, yaklaşık 4,5 milyar yıl önce Mars büyüklüğündeki bir gök cisminin Dünya’ya çarpması sonucu açığa çıkan parçaların bir araya gelmesiyle oluştu. Ay’ın Atmosferi Ay’ın, ekzosfer olarak isimlendirilen çok ince ve seyrek bir atmosferi vardır. Özellikle de yüzeye yakın bölgelerinde argon,",300,0,300
1,"aya gelmesiyle oluştu. Ay’ın Atmosferi Ay’ın, ekzosfer olarak isimlendirilen çok ince ve seyrek bir atmosferi vardır. Özellikle de yüzeye yakın bölgelerinde argon, neon, hidrojen ve helyum gazlarının olduğu belirlendi. Ay’ın yüzeyine çarpan gök taşları, güneş rüzgârları ile taşınan yüksek enerjili parçacıklar ve morötesi dalga boyundaki ışınlar Ay’ın atmosferinin yapısını etkiler.  Ay’ın gündüzleri ve geceleri yaklaşık iki hafta sürer. Gündüz vakti Ay'ın yüzeyindeki atom ve moleküller güneş rüzgârları nedeniyle iyonlaşır yani elektron alışverişi sonucu elektriksel olarak yüklü hâle gelir. Ay’ın Dünya etrafındaki yörüngesindeki konumu da güneş ışınlarından ne kadar etkileneceğini belirler. Örneğin Ay, Güneş ile Dünya arasında bulunduğunda güne",300,240,540
2,"ünya etrafındaki yörüngesindeki konumu da güneş ışınlarından ne kadar etkileneceğini belirler. Örneğin Ay, Güneş ile Dünya arasında bulunduğunda güneş ışınlarına doğrudan maruz kalır. Güneş’e göre Dünya’nın arkasında yer aldığında yani Güneş, Dünya ve Ay şeklinde hizalandıklarında Ay, Dünya’nın manyetik alanının güneş rüzgârları nedeniyle uzayan kuyruğunun içinde yer alır.  Ay’ın yüzeyine çarpan mikro ölçekteki gök taşları da atmosferin yapısını etkiler. Çok yüksek hızlarda hareket eden bu parçacıklar çok küçük boyutta olsalar bile Ay’ın yüzeyine çarptıklarında büyük miktarda ısının açığa çıkmasına yol açarlar. Bu da Ay’ın yüzeyindeki toz parçacıklarının buharlaşmasına neden olur. Açığa çıkan gazlar ise atmosfere karışır.  Atmosferin çok ince",300,480,780
3,"masına yol açarlar. Bu da Ay’ın yüzeyindeki toz parçacıklarının buharlaşmasına neden olur. Açığa çıkan gazlar ise atmosfere karışır.  Atmosferin çok ince olmasından dolayı Ay’ın güneş ışığı alan ve almayan kısımları arasında belirgin bir sıcaklık farkı vardır. Örneğin gündüzleri sıcaklık 121°C’ye çıkabilirken, geceleri -133 °C’ye kadar düşebilir. Ayrıca Ay’ın yüzeyindeki kraterlerin hiç güneş ışığı almayan bölgelerinde sıcaklık çok daha düşüktür. Bu bölgelerde bulunan atomlar veya moleküller aşırı soğuk nedeniyle neredeyse hiç hareket edemez ve adeta hapsolur.  Ay'ın Kütlesi ve Büyüklüğü Ay, Güneş sistemindeki beşinci en büyük uydudur. Ancak uydu ile gezegenin kütle oranı dikkate alındığında, Ay ile Dünya arasındaki kütle oranı diğer",300,720,1020
4,"üğü Ay, Güneş sistemindeki beşinci en büyük uydudur. Ancak uydu ile gezegenin kütle oranı dikkate alındığında, Ay ile Dünya arasındaki kütle oranı diğer uydu ve gezegen çiftlerine kıyasla en yüksektir. Dünya’nın çapı, Ay’ın çapının dört katı iken kütlesi Ay’ınkinin 81 katıdır. Kütle ve yarıçapa bağlı olarak Ay’ın yer çekimi ivmesi Dünya’nınkinin altıda biridir. Ay yüzeyinde bir cismi belirli bir yükseklikten serbest düşmeye bırakırsanız cisim Dünya yüzeyine kıyasla altıda biri daha düşük bir hızla düşer. Başka bir deyişle, Ay yüzeyinde kütleniz değişmez ancak ağırlığınız Dünya’dakinin altıda biri olacaktır.  Ay’ın Yörünge Özellikleri Ay, Dünya etrafındaki yörüngesinde hareket ettikçe Güneş’ten aldığı ışık",300,960,1260
5,"z Dünya’dakinin altıda biri olacaktır.  Ay’ın Yörünge Özellikleri Ay, Dünya etrafındaki yörüngesinde hareket ettikçe Güneş’ten aldığı ışık nedeniyle dönemsel olarak yüzeyinin bir kısmı veya tamamı aydınlanır ve kararır. Bunun sonucunda sırasıyla yeni ay, hilal, ilk dördün (yarım ay), şişkin ay (dolunay öncesi), dolunay, şişkin ay (dolunay sonrası), son dördün (yarım ay) ve hilal şeklinde isimlendirilen evrelere sahip olur. Ay’ın Dünya etrafındaki yörüngesini tamamlama süresi iki şekilde tanımlanabilir. Dünya’dan Ay’a bakan bir gözlemci için uzaktaki bir yıldızı referans alalım. Ay, Dünya etrafındaki yörünge hareketi sırasında o yıldızla tekrar aynı doğrultuya geldiğinde Dünya etrafındaki bir turunu tamamlamış olur. Ay’ın D",300,1200,1500
6,", Dünya etrafındaki yörünge hareketi sırasında o yıldızla tekrar aynı doğrultuya geldiğinde Dünya etrafındaki bir turunu tamamlamış olur. Ay’ın Dünya etrafındaki bir tam turunu tamamlama süresi 27,3 gündür. Buna “yıldız dönemi” denir.  Ay bir evreden (mesela hilal) tekrar aynı evreye gelene kadar geçen süreye ise “kavuşum dönemi” denir ve 29,5 gün sürer. Yıldız döneminin kavuşum döneminden daha kısa sürmesinin nedeni, Dünya’nın da Güneş etrafında hareket ediyor olmasıdır. Ay’ın evreleri, güneş ışığının Ay’a geliş açısına bağlı olarak değişir. Bunun sonucu olarak Dünya-Ay doğrultusu, Ay’ın kavuşum dönemi sonlanmadan, uzaktaki referans yıldızıyla aynı hizaya gelir ve bir yıldız dönemi tamamlanmış olur.  Ay’ın",300,1440,1740
7," doğrultusu, Ay’ın kavuşum dönemi sonlanmadan, uzaktaki referans yıldızıyla aynı hizaya gelir ve bir yıldız dönemi tamamlanmış olur.  Ay’ın kendi ekseni etrafındaki dönme süresi ile Dünya etrafındaki dolanma süresi neredeyse birbirine eşittir. Buna dönme-dolanma kilitlenmesi veya senkronize dönme denir. Bu nedenle Ay bize her zaman aynı yüzünü gösterir. Ancak Ay’ın dönme ekseninin salınım hareketi yapması nedeniyle Ay’ın yüzeyinin %50’lik kısmını değil biraz daha fazlasını görürüz.  Ay’ın kendi ekseni etrafındaki dönme düzlemi ile Dünya etrafındaki yörünge düzlemi arasında 1,5 derecelik bir açı vardır. Bu nedenle Ay’ın Dünya etrafındaki bir turu boyunca Dünya’dan bakan bir gözlemci Ay’ın kutup bölgelerinin bir kısmını da gözleyebilir.",300,1680,1980
8," açı vardır. Bu nedenle Ay’ın Dünya etrafındaki bir turu boyunca Dünya’dan bakan bir gözlemci Ay’ın kutup bölgelerinin bir kısmını da gözleyebilir. Buna enlemsel librasyon denir. Ay’ın Dünya etrafındaki yörüngesi elips şeklinde olduğu için yörüngesinde farklı noktalarda farklı hızlarla hareket eder. Kendi ekseni etrafındaki dönme hareketi ise daha düzenlidir. Bunun sonucu olarak Ay, bir tam yörünge hareketi boyunca doğu ve batı yönünde bir miktar salınım yapar. Buna boylamsal librasyon denir. Bu iki etkinin birleşmesi sonucu Ay yüzeyinin %50’sini değil, %59’unu görürüz.  Ay’ın Arka Yüzü Gerçekten Karanlık mı? Ay’ın Dünya’dan görülemeyen yüzüne “Ay’ın karanlık yüzü” de denir. Ancak bu yanlış bir isimlendirmedir. Çünkü Ay’ın arka yüzü de gü",300,1920,2220
9,"? Ay’ın Dünya’dan görülemeyen yüzüne “Ay’ın karanlık yüzü” de denir. Ancak bu yanlış bir isimlendirmedir. Çünkü Ay’ın arka yüzü de güneş ışığı alır. Örneğin Ay dolunay evresindeyken Dünya’ya bakan yüzü tamamen güneş ışığı alırken, yeni ay evresindeyken bu kez Ay’ın Dünya’dan görünmeyen arka yüzü güneş ışığı alır.  Ay, Dünya’nın etrafında dolanıyor denir. Ancak aslında her iki gök cismi de ortak kütle merkezlerinin etrafında tur atar. Dünya’nın kütlesi Ay’ınkinden çok daha büyük olduğu için ortak kütle merkezi Dünya’nın merkezine daha yakındır ve yerin yüzeyinin 1.700 km altında bulunur. Aralarındaki kütle çekim etkileşimi nedeniyle Ay ile Dünya arasında gelgit etkisi ortaya çıkar. Gelgit etkisiyle okyanuslar ve hatta yer kabuğ",300,2160,2460
10," altında bulunur. Aralarındaki kütle çekim etkileşimi nedeniyle Ay ile Dünya arasında gelgit etkisi ortaya çıkar. Gelgit etkisiyle okyanuslar ve hatta yer kabuğu bir miktar yer değiştirir. Gelgit etkisi okyanus gibi büyük su kütlelerinde daha fazla hissedilir. Gelgit etkisinin nasıl oluştuğuyla ilgili detaylı bilgiye “Gelgitler Nasıl Oluşur?” yazımızdan ulaşabilirsiniz.  Ay’ın Dünya üzerinde oluşturduğu gelgit etkisi, Güneş’in oluşturduğu gelgit etkisinden 2,2 kat daha fazladır. Dünya, Ay ve Güneş neredeyse aynı hizada olduğunda yani Ay yeni ay veya dolunay evresindeyken, Ay’ın sebep olduğu gelgit etkisi maksimum seviyeye ulaşır.  Ay ile Dünya’yı ve Dünya ile Güneş’i birleştiren doğrular arasındaki açı doksan derece olduğunda, yani Ay ilk dördün veya son dördün",300,2400,2700
11,"viyeye ulaşır.  Ay ile Dünya’yı ve Dünya ile Güneş’i birleştiren doğrular arasındaki açı doksan derece olduğunda, yani Ay ilk dördün veya son dördün evresindeyken, gelgit etkisi minimum seviyede gerçekleşir.  Gelgit etkisi nedeniyle Dünya’nın kendi ekseni etrafındaki dönüşü yüz yılda ortalama 2 milisaniye yavaşlıyor. Bu nedenle Dünya’nın gün süresi giderek uzuyor. Ancak bu olay çok yavaş gerçekleşiyor. Örneğin bugün 24 saat olan gün süresi 180 milyon yıl sonra 25 saate ulaşabilecek.  Dünya'nın dönüşü sürekli yavaşladığı için uzun zaman sonra bir Dünya günü 27,3 güne eşit olacaktır. Bu durumda Dünya’nın bir yüzü sürekli olarak Ay’a bakacak. Ancak Ay ile Dünya arasındaki mesafe de sabit değil. Ay, Dünya’dan yılda ortalama 4 cm uz",300,2640,2940
12,"ır. Bu durumda Dünya’nın bir yüzü sürekli olarak Ay’a bakacak. Ancak Ay ile Dünya arasındaki mesafe de sabit değil. Ay, Dünya’dan yılda ortalama 4 cm uzaklaşıyor. Bu nedenle Ay’ın Dünya etrafında bir tam turunu tamamlaması için geçen süre giderek artıyor. Ay ile Dünya arasındaki mesafe arttıkça Ay’ın Dünya’nın üzerindeki gelgit etkisi azalacağı için Dünya'nın dönüş hızı üzerindeki yavaşlatıcı etkisi de azalacaktır. Ancak Dünya’nın bir gün süresi bu derece uzamadan çok önce Güneş bir kırmızı deve dönüşmüş olacak. Hesaplamalara göre bu süreçte Güneş, Dünya’yı da içine alacak şekilde genişleyebilir. Dolayısıyla Dünya hiçbir zaman o kadar uzun bir gün süresi yaşayamadan yok olabilir.  Ay, Dünya’yı sadece gelgit kuvveti yoluyla etkilemez. Dünya’nın kendi",300,2880,3180
13," Dolayısıyla Dünya hiçbir zaman o kadar uzun bir gün süresi yaşayamadan yok olabilir.  Ay, Dünya’yı sadece gelgit kuvveti yoluyla etkilemez. Dünya’nın kendi ekseni etrafındaki dönüşü sırasında oluşan salınım hareketi Ay nedeniyle daha düzenli hâle gelir. Bu durum ise Dünya’daki iklimin daha kararlı olmasını sağlar.  Ay’ın İç Yapısı Ay’ın iç yapısı çekirdeği, manto tabakası ve yüzey kabuğundan oluşur. Ay’ın demir yönünden zengin yaklaşık 250 km’lik bir yarıçapa sahip katı hâlde bir iç çekirdeği olduğu düşünülüyor. İç çekirdeğin üzerinde 90 km kalınlığa sahip sıvı demirden oluşan bir dış çekirdek bulunuyor. Çekirdek ve onun dışındaki sıvı demir katmanını erimiş maddelerden oluşan 150 km kalınlıktaki başka bir katman çevreli",300,3120,3420
14," bir dış çekirdek bulunuyor. Çekirdek ve onun dışındaki sıvı demir katmanını erimiş maddelerden oluşan 150 km kalınlıktaki başka bir katman çevreliyor.  Bu katmandan sonra Ay'ın yüzeyini saran kabuk katmanına kadar bir manto tabakası yer alıyor. Ay’ın manto tabakasının magnezyum, demir, silisyum ve oksijen atomlarından meydana gelen minerallerden oluştuğu düşünülüyor.  Ay kabuğunun kalınlığı Dünya’ya bakan yüzünde 70 km iken, Ay’ın Dünya’dan görülemeyen yüzünde 150 km’ye ulaşabiliyor. Yani Ay’ın bazı bölgelerindeki kabuk katmanının kalınlığı Dünya’nın yer kabuğundan daha fazladır.  Ay’ın geçmişte güçlü bir manyetik alana sahip olduğu düşünülüyor. Bugün ise Ay’ın manyetik alan şiddeti, Dünya’nın manyetik alanından binlerce kez daha zayıf. ",300,3360,3660
15,"mişte güçlü bir manyetik alana sahip olduğu düşünülüyor. Bugün ise Ay’ın manyetik alan şiddeti, Dünya’nın manyetik alanından binlerce kez daha zayıf.  Ay’ın Yüzeyindeki Karanlık ve Aydınlık Bölgeler Nedir? Ay’ın yüzeyindeki koyu renkte görünen bölgeler Latince “deniz” anlamına gelen mare veya maria olarak isimlendiriliyor. Eskiden insanlar bu bölgelerin okyanus olduğunu düşünüyordu. Ancak Ay’ın yüzeyindeki karanlık görünen bölgeler aslında, milyarlarca yıl öncesine ait volkanik havzalar ve lav yataklarıdır. Soluk gri bölgeler anortozit adı verilen kayaçları içerir. Bu yapılar erimiş kayaçların soğuması ve kayaçların yapısındaki daha hafif elementlerin üste çıkmasıyla oluşur. Koyu bölgeler ise bazalt adı verilen başka bir kayaç türü içerir. Ay’ın yüzeyindeki parlak beyaz bölg",300,3600,3900
16,ısındaki daha hafif elementlerin üste çıkmasıyla oluşur. Koyu bölgeler ise bazalt adı verilen başka bir kayaç türü içerir. Ay’ın yüzeyindeki parlak beyaz bölgeler ise yükseltisi yüksek bölgelerdir. Ay'ın arka yüzünde ise mare adı verilen koyu renkteki bölgeler neredeyse hiç bulunmaz.  Keşiflerle Ay Geçmişte Ay yüzeyinden alınan örneklerde yapılan incelemeler Ay yüzeyinin su içermediğini gösteriyordu. Ay yüzeyinde suyun varlığına ilişkin ilk kanıt 2008 yılında Ay’ın yüzeyine inen Hindistan’a ait Chandrayaan-1 isimli yüzey aracı tarafından elde edildi ve hidroksil (OH) molekülü bulundu. Daha sonra yapılan gözlemler ve ölçümler sayesinde Ay’ın kutup bölgelerindeki kraterlerin hiç güneş ışığı almayan iç bölgelerinde su buzu olduğu keşfedildi.  Ay’ın yüzey,300,3840,4140
17,"mler ve ölçümler sayesinde Ay’ın kutup bölgelerindeki kraterlerin hiç güneş ışığı almayan iç bölgelerinde su buzu olduğu keşfedildi.  Ay’ın yüzeyi birkaç santimetre kalınlığında bir toz katmanı ile kaplıdır. Ay'ın yüzeyine çarpan mikro ölçekteki gök taşları sayesinde yüzeyin altında bulunan ve toz tanecikleri tarafından üzeri kaplanan su moleküllerinin yüzeye yayıldığı anlaşıldı.  2020 yılında ise Ay’ın sadece kutuplarına yakın bölgelerinde değil, aynı zamanda güneş ışığı alan bölgelerinde de su molekülleri bulundu.  Ay’a gönderilen uzay araçları ve bu görevler sırasında Ay ile ilgili elde edilen önemli bilgilere “Ay Görevleri: Ay’a Neden Gidiyoruz?” yazımızdan ulaşabilirsiniz. Sayılarla Ay  Keşif: Tarih öncesi  Çapı: 3.560 km (Dünya’nın içine ",300,4080,4380
18," “Ay Görevleri: Ay’a Neden Gidiyoruz?” yazımızdan ulaşabilirsiniz. Sayılarla Ay  Keşif: Tarih öncesi  Çapı: 3.560 km (Dünya’nın içine 46 adet Ay sığabilir.)  Kütlesi: 7,3 x 1022 kg  Dünya’ya uzaklık (ortalama): 384.400 km  Yıldız dönemi: 27,3 gün  Kavuşum dönemi: 29,5 gün Ay, Dünya'nın tek doğal uydusu ve Güneş Sistemi içindeki beşinci büyük doğal uydudur. Dünya ile Ay arasında ortalama merkezden merkeze uzaklık 384.403 km, yani Dünya'nın çapının yaklaşık otuz katı kadardır. Jeofiziksel açıdan Ay, gezegen kütleli gök cismi veya uydu gezegendir. Kütlesi, Dünya'nın kütlesinin %1,2'si ve çapı 3.474 km (2.159 mi) ile Dünya'nın yaklaşık dörtte biri kadardır. Yüzeyinde kütleçek",300,4320,4620
19,"ütlesi, Dünya'nın kütlesinin %1,2'si ve çapı 3.474 km (2.159 mi) ile Dünya'nın yaklaşık dörtte biri kadardır. Yüzeyinde kütleçekim etkisi yerçekiminin yaklaşık %17'sidir. Ay, Dünya'nın yörüngesinde bir turunu 27 gün 7 saatte tamamlar. Dünya, Ay ve Güneş geometrisinde görülen periyodik değişimler sonucunda her 29,5 günde tekrar eden Ay'ın evreleri oluşur.  Ay, insanların üzerine iniş yaparak yürüdükleri gökcismidir. Yer çekiminden kurtulup uzaya çıkan ve Ay'ın yakınından geçen ilk yapay nesne Sovyetler Birliği'nin Luna 1 uydusudur. Ay yüzeyine çarpan ilk insan yapısı nesne Luna 2 uydusudur. Normalde görünmeyen Ay'ın öteki yüzünün ilk fotoğraflarını ise Luna 3 uydusu çekmiştir. Bu üç uydu da 1959 yılında uzaya",300,4560,4860
20,"ne Luna 2 uydusudur. Normalde görünmeyen Ay'ın öteki yüzünün ilk fotoğraflarını ise Luna 3 uydusu çekmiştir. Bu üç uydu da 1959 yılında uzaya fırlatılmıştır. Ay yüzeyine ilk yumuşak iniş yapabilen uzay aracı Luna 9 ve Ay yörüngesine giren ilk insansız uzay aracı da Luna 10'dur. Bu iki uydu da 1966'da uzaya fırlatılmıştır.[14] ABD'nin Apollo programı 1969 ve 1972 yılları arasında altı başarılı inişle, günümüze kadar insanlı görevleri başaran tek uzay programıdır. Ay'ın doğrudan insanlar tarafından incelenmesine Apollo programının bitişiyle son verilmiştir.  En yaygın olarak kabul edilen köken açıklaması, Ay'ın 4,51 milyar yıl önce, (Dünya'dan kısa bir süre sonra) Dünya ile Theia adlı Mars büyüklüğündeki varsayımsal bir cisim arasındaki dev çarpışma",300,4800,5100
21," 4,51 milyar yıl önce, (Dünya'dan kısa bir süre sonra) Dünya ile Theia adlı Mars büyüklüğündeki varsayımsal bir cisim arasındaki dev çarpışma enkazından oluştuğunu ileri sürer. Sonrasında Dünya ile gelgit etkileşimi nedeniyle daha uzak bir yörüngeye çekildi. Ay'ın yakın tarafı parlak ve eski kabuksal yüksek dağlar ile, göze çarpan darbe kraterileri arasındaki boşlukları dolduran koyu volkanik maria ""karanlık denizler"" ile dikkat çekicidir. Büyük çarpışma havzaları ve karanlık yüzeylerinin mare çoğu yaklaşık üç milyar yıl önce Imbrian döneminin sonuna kadar yerindeydi. Ay yüzeyi nispeten yansıtıcı değildir, yansıma derecesi aşınmış asfaltdan biraz daha parlaktır. Ancak, açısal çapı büyük olduğu için dolunayda gece gökteki en parlak gö",300,5040,5340
